nombre,poblacion,superficie,continente
Afganistán,26023100,652230,Asia
Albania,2895947,28748,Europa
Argelia,38700000,2381741,África
Samoa Americana,55519,199,Oceanía
Angola,24383301,1246700,África
Anguilla,13452,91,América
Antigua y Barbuda,86295,442,América
Argentina,42669500,2780400,América
Armenia,3009800,29743,Asia
Aruba,101484,180,América
Australia,23696900,7692024,Oceanía
Austria,8527230,83871,Europa
Azerbaiyán,9552500,86600,Asia
Bahamas,319031,13943,América
Bahrein,1316500,765,Asia
Bangladesh,157486000,147570,Asia
Barbados,285000,430,América
Bielorrusia,9475100,207600,Europa
Bélgica,11225469,30528,Europa
Belice,349728,22966,América
Benín,9988068,112622,África
Bermudas,64237,54,América
Bután,755030,38394,Asia
Bolivia,10027254,1098581,América
Bosnia y Herzegovina,3791622,51209,Europa
Botswana,2024904,582000,África
Brasil,203586000,8515767,América
Territorio Británico del Océano Índico,3000,60,África
Brunei,393372,5765,Asia
Bulgaria,7245677,110879,Europa
Burkina Faso,17322796,272967,África
Burundi,9530434,27834,África
Camboya,15184116,181035,Asia
Camerún,20386799,475442,África
Canadá,35540419,9984670,América
Cabo Verde,518467,4033,África
República Centroafricana,4709000,622984,África
Chad,13211000,1284000,África
Chile,17819054,756102,América
China,1367110000,9640011,Asia
Colombia,47907800,1141748,América
Comoras,763952,1862,África
Congo,4559000,342000,África
Congo (Rep. Dem.),69360000,2344858,África
Costa Rica,4713168,51100,América
Costa de Marfil,23821000,322463,África
Croacia,4267558,56594,Europa
Cuba,11210064,109884,América
Chipre,858000,9251,Europa
República Checa,10521600,78865,Europa
Dinamarca,5655750,43094,Europa
Yibuti,886000,23200,África
Dominica,71293,751,América
República Dominicana,10378267,48671,América
Ecuador,15888900,276841,América
Egipto,87668100,1002450,África
El Salvador,6401240,21041,América
Guinea Ecuatorial,1430000,28051,África
Eritrea,6536000,117600,África
Estonia,1315819,45227,Europa
Etiopía,87952991,1104300,África
Fiyi,859178,18272,Oceanía
Finlandia,5470437,338424,Europa
Francia,66078000,640679,Europa
Polinesia Francesa,268270,4167,Oceanía
Gabón,1711000,267668,África
Gambia,1882450,11295,África
